Time,Coupling_Strength,Phase_Locking_Ratio,Energy_Synchronization
0.0,0.0,1.0,1.0
0.1001001001001001,0.0005,0.9999999899705937,1.0008981208971672
0.2002002002002002,0.001,0.999999901729136,1.0017916922706087
0.3003003003003003,0.0015,0.9999998418203658,1.0026788330095335
0.4004004004004004,0.002,0.9999995192727811,1.003544259983484
0.5005005005005005,0.0025,0.9999996313398394,1.0043822702094813
0.6006006006006006,0.003,0.9999990557832974,1.0051991197273458
0.7007007007007008,0.0035,0.9999995277200405,1.0060289702242957
0.8008008008008008,0.004,0.9999982397907141,1.0068307804157572
0.9009009009009008,0.0045,0.9999989065810602,1.0075971994314068
1.001001001001001,0.005,0.9999980370964238,1.008338545454193
1.1011011011011012,0.0055,0.999985085067988,1.0090896319011888
1.2012012012012012,0.006,0.9999958475910716,1.0098235305374939
1.3013013013013013,0.0065,0.999998129998987,1.0105760279330727
1.4014014014014016,0.007,0.9999841786552754,1.011309510503268
1.5015015015015016,0.0075,0.9999979710945449,1.0119950035200453
1.6016016016016017,0.008,0.9999974710264361,1.012678405564477
1.7017017017017018,0.0085,0.9999852244567674,1.0133972177833437
1.8018018018018016,0.009,0.9999974098585177,1.0141142007440664
1.901901901901902,0.0095,0.9999852665645966,1.014843147288021
2.002002002002002,0.01,0.9999876908538293,1.0156010149967283
2.1021021021021022,0.0105,0.99994857036685,1.0163933097748594
2.2022022022022023,0.011,0.9999774704197212,1.0171530757966065
2.3023023023023024,0.0115,0.999976984892035,1.0179653924264171
2.4024024024024024,0.012,0.9990228443914113,1.0187461744037316
2.5025025025025025,0.0125,0.999910178324582,1.019606958623388
2.6026026026026026,0.013,0.9999573668685667,1.0204533028715828
2.702702702702703,0.0135,0.9996988829484104,1.021298982715811
2.802802802802803,0.014,0.9999956119720669,1.0221737962868782
2.902902902902903,0.0145,0.9999976983796263,1.0230312783777062
3.0030030030030037,0.015,0.9999990678129517,1.0238768302307142
3.1031031031031038,0.0155,0.9999995390726397,1.0247112833511545
3.2032032032032034,0.016,0.9999982871087407,1.025571756779218
3.3033033033033035,0.0165,0.9999992005509977,1.0263866687198933
3.4034034034034035,0.017,0.9999979542143673,1.0271243235479441
3.503503503503504,0.0175,0.9999962365572547,1.0278377623036896
3.603603603603604,0.018,0.9999990484748658,1.028483101913921
3.703703703703704,0.0185,0.9999971414436035,1.0291397303789775
3.803803803803804,0.019,0.9999978698547026,1.0297084812554507
3.903903903903904,0.0195,0.9999977066517846,1.0302013773643603
4.004004004004004,0.02,0.9999952889928584,1.0307078900865159
4.104104104104104,0.0205,0.9999987891876451,1.031165150189565
4.2042042042042045,0.021,0.9999970135401215,1.031617494341722
4.3043043043043046,0.0215,0.9999980236038429,1.0319589775909985
4.404404404404405,0.022,0.999996762521885,1.0322937623660244
4.504504504504505,0.0225,0.9999977225568334,1.0325944713014943
4.604604604604605,0.023,0.9999984790090635,1.0328411868661556
4.704704704704705,0.0235,0.9999970403451927,1.0331840531410865
4.804804804804805,0.024,0.9999976167654203,1.0335749760088455
4.904904904904905,0.0245,0.9999939296772147,1.0339553664547345
5.005005005005005,0.025,0.9999957648397944,1.0342934318103278
5.105105105105105,0.0255,0.9999972935409545,1.0346693990921991
5.205205205205205,0.026,0.999997201752684,1.0351057653453313
5.305305305305305,0.0265,0.9999960171438259,1.035578877726626
5.405405405405406,0.027,0.9999979769081411,1.0361538697007089
5.505505505505506,0.0275,0.999996486052338,1.0368533326558254
5.605605605605606,0.028,0.9999845491474865,1.0376525767330393
5.705705705705706,0.0285,0.9999875108586616,1.0384398981805025
5.805805805805806,0.029,0.9999716996516602,1.0393224481600132
5.9059059059059065,0.0295,0.9999964815788601,1.040382747406915
6.006006006006007,0.03,0.9999977441286473,1.0416579233280052
6.106106106106107,0.0305,0.9999977348954122,1.0428310370777478
6.206206206206207,0.031,0.9999799149029027,1.044271091796708
6.306306306306307,0.0315,0.9999920472060501,1.045728349321695
6.406406406406407,0.032,0.999995224871283,1.047385533542035
6.506506506506507,0.0325,0.99999883143022,1.0496017688287833
6.606606606606607,0.033,0.9999984986171744,1.052324516466288
6.706706706706707,0.0335,0.9999982077308771,1.054856753020607
6.806806806806807,0.034,0.999999122971476,1.0577947800268646
6.906906906906907,0.0345,0.9999941328037498,1.0610410462193962
7.007007007007007,0.035,0.9999992952897648,1.0635352018007886
7.107107107107107,0.0355,0.9999990972903035,1.065938879624374
7.207207207207207,0.036,0.9999988836217696,1.0665578265695097
7.307307307307307,0.0365,0.9999988732500479,1.0648856004279046
7.407407407407407,0.037,0.9999984090882305,1.0564590748314229
7.507507507507508,0.0375,0.9999991645555089,1.0435332570321585
7.607607607607608,0.038,0.9999992368981543,1.0289579959628539
7.7077077077077085,0.0385,0.9599994830219448,1.0098744631354617
7.807807807807809,0.039,0.999999071482602,0.9947103049407553
7.907907907907909,0.0395,0.9999990619988627,0.9839069110264538
8.008008008008009,0.04,0.9999993052246263,0.9781606194932057
8.108108108108109,0.0405,0.9999990938427459,0.9746463483854416
8.208208208208209,0.041,0.9999991733422482,0.9726544589648382
8.308308308308309,0.0415,0.9999992456821422,0.9718674538308189
8.408408408408409,0.042,0.9999990153881096,0.9720586606296842
8.508508508508509,0.0425,0.9999983132031393,0.9729129982781615
8.608608608608609,0.043,0.9999973515307624,0.9735424275857932
8.70870870870871,0.0435,0.9999985184269474,0.9744326669613045
8.80880880880881,0.044,0.9999969750814579,0.9753551155481541
8.90890890890891,0.0445,0.9999960876804362,0.9762252807439998
9.00900900900901,0.045,0.9999969171208797,0.9771627771639766
